"","1997-2009","Histórico","2010-2021"
"mean",205360,204260,202860
"std",15645,15671,15709
"10%",185310,184177,182728
"20%",192193,191071,189639
"30%",197156,196042,194622
"40%",201396,200290,198880
"50%",205360,204260,202860
"10%",0.1,0.1,0.1
"20%",0.06,0.06,0.07
"30%",0.04,0.04,0.04
"40%",0.02,0.02,0.02
"50%",0,0,0
"10%",181604,180493,179074
"20%",188349,187250,185846
"30%",193213,192121,190730
"40%",197368,196284,194903
"50%",201253,200175,198803
