"","1997-2009","Histórico","2010-2020"
"mean",211550,197520,182330
"std",39588,39414,39325
"10%",160816,147009,131933
"20%",178232,164348,149233
"30%",190790,176851,161708
"40%",201520,187535,172367
"50%",211550,197520,182330
"10%",0.24,0.26,0.28
"20%",0.16,0.17,0.18
"30%",0.1,0.1,0.11
"40%",0.05,0.05,0.05
"50%",0,0,0
"10%",157600,144069,129294
"20%",174667,161061,146249
"30%",186974,173314,158474
"40%",197490,183784,168920
"50%",207319,193570,178683
